DTCCode,Description
P0497,Evaporative Emission System Low Purge Flow
P0498,Evaporative Emission System Vent Control Circuit Low
P0499,Evaporative Emission System Vent Control Circuit High
P0500,Vehicle Speed Sensor Malfunction
P0501,Vehicle Speed Sensor Range/Performance
P0502,Vehicle Speed Sensor Circuit Low Input
P0503,Vehicle Speed Sensor Intermittent/Erratic/High
P0504,Brake Switch A / B Correlation
P0505,Idle Control System Malfunction
P0506,Idle Control System RPM lower Than Expected
P0507,Idle Control System RPM higher Than Expected
P0508,Idle Air Control System Circuit Low
P0509,Idle Air Control System Circuit High
P0510,Closed Throttle Position Switch Malfunction
P0511,Idle Air Control Circuit
P0512,Starter Request Circuit
P0513,Incorrect Immobilizer Key
P0514,Battery Temperature Sensor Circuit Range/Performance
P0515,Battery Temperature Sensor Circuit
P0516,Battery Temperature Sensor Circuit Low
P0517,Battery Temperature Sensor Circuit High
P0518,Idle Air Control Circuit Intermittent
P0519,Idle Air Control Circuit System Performance
P0520,Engine Oil Pressure Sensor/Switch Circuit Malfunction
P0521,Engine Oil Pressure Sensor/Switch Range/Performance
P0522,Engine Oil Pressure Sensor/Switch Low Voltage
P0523,Engine Oil Pressure Sensor/Switch High Voltage
P0524,Engine Oil Pressure Too Low
P0525,Cruise Control Servo Control Circuit Range/Performance
P0526,Fan Speed Sensor Circuit
P0527,Fan Speed Sensor Circuit Range/Performance
P0528,Fan Speed Sensor Circuit No Signal
P0529,Fan Speed Sensor Circuit Intermittent
P0530,A/C Refrigerant Pressure Sensor Circuit Malfunction
P0531,A/C Refrigerant Pressure Sensor Circuit Range/Performance
P0532,A/C Refrigerant Pressure Sensor Circuit Low Input
P0533,A/C Refrigerant pressure Sensor Circuit High Input
P0534,Air Conditioner Refrigerant Charge Loss
P0535,A/C Evaporator Temperature Sensor Circuit
P0536,A/C Evaporator Temperature Sensor Circuit Range/Performance
P0537,A/C Evaporator Temperature Sensor Circuit Low
P0538,A/C Evaporator Temperature Sensor Circuit High
P0539,A/C Evaporator Temperature Sensor Circuit Intermittent
P0540,Intake Air Heater A Circuit
P0541,Intake Air Heater A Circuit Low
P0542,Intake Air Heater A Circuit High
P0543,Intake Air Heater A Circuit Open
P0544,Exhaust Gas Temperature Sensor Circuit - Bank 2 Sensor 1
P0545,Exhaust Gas Temperature Sensor Circuit Low - Bank 2 Sensor 1
P0546,Exhaust Gas Temperature Sensor Circuit High - Bank 2 Sensor 1
P0547,Exhaust Gas Temperature Sensor Circuit - Bank 2 Sensor 1
P0548,Exhaust Gas Temperature Sensor Circuit Low - Bank 2 Sensor 1
P0549,Exhaust Gas Temperature Sensor Circuit High - Bank 2 Sensor 1
P0550,Power Steering Pressure Sensor Circuit Malfunction
P0551,Power Steering Pressure Sensor Circuit Range/Performance
P0552,Power Steering Pressure Sensor Circuit Low Input
P0553,Power Steering Pressure Sensor Circuit High Input
P0554,Power Steering Pressure sensor Circuit Intermittent
P0555,Brake Booster Pressure Sensor Circuit
P0556,Brake Booster Pressure Sensor Circuit Range/Performance
P0557,Brake Booster Pressure Sensor Circuit Low Input
P0558,Brake Booster Pressure Sensor Circuit High Input
P0559,Brake Booster Pressure Sensor Circuit Intermittent
P0560,System Voltage Malfunction
P0561,System Voltage Unstable
P0562,System Voltage Low
P0563,System Voltage High
P0564,Cruise Control Multi-Function Input A Circuit
P0565,Cruise Control On Signal Malfunction
P0566,Cruise Control Off Signal Malfunction
P0567,Cruise Control Resume Signal Malfunction
P0568,Cruise Control Set Signal Malfunction
P0569,Cruise Control Coast Signal Malfunction
P0570,Cruise Control Accel Signal Malfunction
P0571,Cruise Control/Brake Switch A Circuit Malfunction
P0572,Cruise Control/Brake Switch A Circuit Low
P0573,Cruise Control/Brake Switch A Circuit High
P0574,Cruise Control System - Vehicle Speed Too High
P0575,Cruise Control Input Circuit
P0576,Cruise Control Input Circuit Low
P0577,Cruise Control Input Circuit High
P0578,Cruise Control Multi-Function Input A Circuit Stuck
P0579,Cruise Control Multi-Function Input A Circuit Range/Performance
P0580,Cruise Control Multi-Function Input A Circuit Low
P0581,Cruise Control Multi-Function Input A Circuit High
P0582,Cruise Control Vacuum Control Circuit /Open
P0583,Cruise Control Vacuum Control Circuit Low
P0584,Cruise Control Vacuum Control Circuit High
P0585,Cruise Control Multi-Function Input A / B Correlation
P0586,Cruise Control Vent Control Circuit / Open
P0587,Cruise Control Vent Control Circuit Low
P0588,Cruise Control Vent Control Circuit High
P0589,Cruise Control Multi-Function Input B Circuit
P0590,Cruise Control Multi-Function Input B Circuit Stuck
P0591,Cruise Control Multi-Function Input B Circuit Range/Performance
P0592,Cruise Control Multi-Function Input B Circuit Low
P0593,Cruise Control Multi-Function Input B Circuit High
P0594,Cruise Control Servo Control Circuit / Open
P0595,Cruise Control Servo Control Circuit Low
P0596,Cruise Control Servo Control Circuit High
P0597,Thermostat Heater Control Circuit / Open
P0598,Thermostat Heater Control Circuit Low
P0599,Thermostat Heater Control Circuit High
P0600,Serial Communication Link Malfunction
P0601,Internal Control Module Memory Check Sum Error
P0602,Control Module Programming Error
P0603,Internal Control Module Keep Alive Memory (KAM) Error
P0604,Internal Control Module Random Access Memory (RAM) Error
P0605,Internal Control Module Read Only Memory (ROM) Error (Module Identification Defined by SAE J1979)
P0606,ECM/PCM Processor Fault
P0607,Control Module Performance
P0608,Control Module VSS Output A Malfunction
P0609,Control Module VSS Output B Malfunction
P0610,Control Module VSS Output B Malfunction
P0611,Fuel Injector Control Module Performance
P0612,Fuel Injector Control Module Relay Control Circuit
P0613,TCM Processor
P0614,ECM / TCM Mismatch
P0615,Starter Relay Circuit
P0616,Starter Relay Circuit Low
P0617,Starter Relay Circuit High
P0618,Alternative Fuel Control Module KAM Error
P0619,Alternative Fuel Control Module RAM/ROM Error
P0620,Generator Control Circuit Malfunction
P0621,Generator Lamp L Control Circuit Malfunction
P0622,Generator Field F Control Circuit Malfunction
P0623,Generator Lamp Control Circuit
P0624,Fuel Cap Lamp Control Circuit
P0625,Generator Field Terminal Circuit Low
P0626,Generator Field Terminal Circuit High
P0627,Fuel Pump A Control Circuit / Open
P0628,Fuel Pump A Control Circuit Low
P0629,Fuel Pump A Control Circuit High
P0630,VIN Not Programmed or Mismatch - ECM/PCM
P0631,VIN Not Programmed or Mismatch - TCM
P0632,Odometer Not Programmed - ECM/PCM
P0633,Immobolizer Key Not Programmed - ECM/PCM
P0634,PCM / ECM / TCM Internal Temperature Too High
P0635,Power Steering Control Circuit
P0636,Power Steering Control Circuit Low
P0637,Power Steering Control Circuit High
P0638,Throttle Actuator Control Range/Performance (Bank 1)
P0639,Throttle Actuator Control Range/Performance (Bank 2)
P0640,Intake Air Heater Control Circuit
P0641,Sensor Reference Voltage A Circuit/Open
P0642,Sensor Reference Voltage A Circuit Low
P0643,Sensor Reference Voltage A Circuit High
P0644,Driver Display Serial Communication Circuit
P0645,A/C Clutch Relay Control Circuit
P0646,A/C Clutch Relay Control Circuit Low
P0647,A/C Clutch Relay Control Circuit High
P0648,Immobilizer Lamp Control Circuit
P0649,Speed Control Lamp Control Circuit
P0650,Malfunction Indicator Lamp (MIL) Control Circuit Malfunction
P0651,Sensor Reference Voltage B Circuit/Open
P0652,Sensor Reference Voltage B Circuit Low
P0653,Sensor Reference Voltage B Circuit High
P0654,Engine RPM Output Circuit Malfunction
P0655,Engine Hot Lamp Output Control Circuit Malfunction
P0656,Fuel Level Output Circuit Malfunction
P0657,Actuator Supply Voltage Circuit / Open
P0658,Actuator Supply Voltage Circuit Low
P0659,Actuator Supply Voltage Circuit High
P0660,Intake Manifold Tuning Valve Control Circuit (Bank 1)
P0661,Intake Manifold Tuning Valve Control Circuit Low (Bank 1)
P0662,Intake Manifold Tuning Valve Control Circuit High (Bank 1)
P0663,Intake Manifold Tuning Valve Control Circuit (Bank 2)
P0664,Intake Manifold Tuning Valve Control Circuit Low (Bank 2)
P0665,Intake Manifold Tuning Valve Control Circuit High (Bank 2)
P0666,PCM / ECM / TCM Internal Temperature Sensor Circuit
P0667,PCM / ECM / TCM Internal Temperature Sensor Range/Performance
P0668,PCM / ECM / TCM Internal Temperature Sensor Circuit Low
P0669,PCM / ECM / TCM Internal Temperature Sensor Circuit High
P0670,Glow Plug Module Control Circuit?More details...
P0671,Cylinder 1 Glow Plug Circuit
P0672,Cylinder 2 Glow Plug Circuit
P0673,Cylinder 3 Glow Plug Circuit
P0674,Cylinder 4 Glow Plug Circuit
P0675,Cylinder 5 Glow Plug Circuit
P0676,Cylinder 6 Glow Plug Circuit
P0677,Cylinder 7 Glow Plug Circuit
P0678,Cylinder 8 Glow Plug Circuit
P0679,Cylinder 9 Glow Plug Circuit
P0680,Cylinder 10 Glow Plug Circuit
P0681,Cylinder 11 Glow Plug Circuit
P0682,Cylinder 12 Glow Plug Circuit
P0683,Glow Plug Control Module to PCM Communication Circuit
P0684,Glow Plug Control Module to PCM Communication Circuit Range/Performance
P0685,ECM/PCM Power Relay Control Circuit/Open
P0686,ECM/PCM Power Relay Control Circuit Low
P0687,ECM/PCM Power Relay Control Circuit High
P0688,ECM/PCM Power Relay Sense Circuit
P0689,ECM/PCM Power Relay Sense Circuit Low
P0690,ECM/PCM Power Relay Sense Circuit High
P0691,Fan 1 Control Circuit Low
P0692,Fan 1 Control Circuit High
P0693,Fan 2 Control Circuit Low
P0694,Fan 2 Control Circuit High
P0695,Fan 3 Control Circuit Low
P0696,Fan 3 Control Circuit High
P0697,Sensor Reference Voltage C Circuit / Open
P0698,Sensor Reference Voltage C Circuit Low
P0699,Sensor Reference Voltage C Circuit High
P0700,Transmission Control System Malfunction
P0701,Transmission Control System Range/Performance
P0702,Transmission Control System Electrical
P0703,Torque Converter/Brake Switch B Circuit Malfunction
P0704,Clutch Switch Input Circuit Malfunction
P0705,Transmission Range Sensor Circuit Malfunction (PRNDL Input)
P0706,Transmission Range Sensor Circuit Range/Performance
P0707,Transmission Range Sensor Circuit Low Input
P0708,Transmission Range Sensor Circuit High Input
P0709,Transmission Range Sensor Circuit Intermittent
P0710,Transmission Fluid Temperature Sensor Circuit Malfunction
P0711,Transmission Fluid Temperature Sensor Circuit Range/Performance
P0712,Transmission Fluid Temperature Sensor Circuit Low Input
P0713,Transmission Fluid Temperature Sensor Circuit High Input
P0714,Transmission Fluid Temperature Sensor Circuit Intermittent
P0715,Input/Turbine Speed Sensor Circuit Malfunction
P0716,Input/Turbine Speed Sensor Circuit Range/Performance
P0717,Input/Turbine Speed Sensor Circuit No Signal
P0718,Input/Turbine Speed Sensor Circuit Intermittent
P0719,Torque Converter/Brake Switch B Circuit Low
P0720,Output Speed Sensor Circuit Malfunction
P0721,Output Speed Sensor Circuit Range/Performance
P0722,Output Speed Sensor Circuit No Signal
P0723,Output Speed Sensor Circuit Intermittent
P0724,Torque Converter/Brake Switch B Circuit High
P0725,Engine Speed Input Circuit Malfunction
P0726,Engine Speed Input Circuit Range/Performance
P0727,Engine Speed Input Circuit No Signal
P0728,Engine Speed Input Circuit Intermittent
P0729,Gear 6 Incorrect Ratio
P0730,Incorrect Gear Ratio
P0731,Gear 1 Incorrect Ratio
P0732,Gear 2 Incorrect Ratio
P0733,Gear 3 Incorrect Ratio
P0734,Gear 4 Incorrect Ratio
P0735,Gear 5 Incorrect Ratio
P0736,Reverse Incorrect Ratio
P0737,TCM Engine Speed Output Circuit
P0738,TCM Engine Speed Output Circuit Low
P0739,Timing Reference High Resolution Signal B No Pulses
P0740,Torque Converter Clutch Circuit Malfunction
P0741,Torque Converter Clutch Circuit Performance or Stuck Off
P0742,Torque Converter Clutch Circuit Stuck On
P0743,Torque Converter Clutch Circuit Electrical
P0744,Torque Converter Clutch Circuit Intermittent
P0745,Pressure Control Solenoid Malfunction
P0746,Pressure Control Solenoid Performance or Stuck Off
P0747,Pressure Control Solenoid Stuck On
P0748,Pressure Control Solenoid Electrical
P0749,Pressure Control Solenoid Intermittent
P0750,Shift Solenoid A Malfunction
P0751,Shift Solenoid A Performance or Stuck Off
P0752,Shift Solenoid A Stuck On
P0753,Shift Solenoid A Electrical
P0754,Shift Solenoid A Intermittent
P0755,Shift Solenoid B Malfunction
P0756,Shift Solenoid B Performance or Stuck Off
P0757,Shift Solenoid B Stuck On
P0758,Shift Solenoid B Electrical
P0759,Shift Solenoid B Intermittent
P0760,Shift Solenoid C Malfunction
P0761,Shift Solenoid C Performance or Stuck Off
P0762,Shift Solenoid C Stuck On
P0763,Shift Solenoid C Electrical
P0764,Shift Solenoid C Intermittent
P0765,Shift Solenoid D Malfunction
P0766,Shift Solenoid D Performance or Stuck Off
P0767,Shift Solenoid D Stuck On
P0768,Shift Solenoid D Electrical
P0769,Shift Solenoid D Intermittent
P0770,Shift Solenoid E Malfunction
P0771,Shift Solenoid E Performance or Stuck Off
P0772,Shift Solenoid E Stuck On
P0773,Shift Solenoid E Electrical
P0774,Shift Solenoid E Intermittent
P0775,Pressure Control Solenoid B
P0776,Pressure Control Solenoid B Performance or Stuck off
P0777,Pressure Control Solenoid B Stuck On
P0778,Pressure Control Solenoid B Electrical
P0779,Pressure Control Solenoid B Intermittent
P0780,Shift Malfunction
P0781,1-2 Shift Malfunction
P0782,2-3 Shift Malfunction
P0783,3-4 Shift Malfunction
P0784,4-5 Shift Malfunction
P0785,Shift Timing Solenoid A Malfunction
P0786,Shift Timing Solenoid A Range/Performance
P0787,Shift Timing Solenoid A low
P0788,Shift Timing Solenoid A High
P0789,Shift Timing Solenoid A Intermittent
P0790,Normal/Performance Switch Circuit Malfunction
P0791,Intermediate Shaft Speed Sensor Circuit
P0792,Intermediate Shaft Speed Sensor Circuit Range/Performance
P0793,Intermediate Shaft Speed Sensor Circuit No signal
P0794,Intermediate Shaft Speed Sensor Circuit Intermittent
P0795,Pressure Control Solenoid C
P0796,Pressure Control Solenoid C Performance or Stuck off
P0797,Pressure Control Solenoid C Stuck On
P0798,Pressure Control Solenoid C Electrical
P0799,Pressure Control Solenoid C Intermittent
P0800,Transmission Control System (MIL Request)
P0801,Reverse Inhibit Control Circuit Malfunction
P0802,Transmission Control System MIL Request Circuit / Open
P0803,1-4 Upshift (Skip Shift) Solenoid Control Circuit Malfunction
P0804,1-4 Upshift (Skip Shift) Lamp Control Circuit Malfunction
P0805,Clutch Position Sensor Circuit Malfunction
P0806,Clutch Position Sensor Circuit Range/Performance Malfunction
P0807,Clutch Position Sensor Circuit Low Malfunction
P0808,Clutch Position Sensor Circuit High Malfunction
P0809,Clutch Position Sensor Circuit Intermittent Malfunction
P0810,Clutch Position Control Error
P0811,Excessive Clutch Slippage
P0812,Reverse Input Circuit
P0813,Reverse Output Circuit
P0814,Transmission Range Display Circuit
P0815,Upshift Switch Circuit
P0816,Downshift Switch Circuit
P0817,Starter Disable Circuit
P0818,Driveline Disconnect Switch Input Circuit
P0819,Up and Down Shift Switch to Transmission Range Correlation
P0820,Gear Lever X - Y Position Sensor Circuit
P0821,Gear Lever X Position Circuit
P0822,Gear Lever Y Position Circuit
P0823,Gear Lever X Position Circuit Intermittent
P0824,Gear Lever Y Position Circuit Intermittent
P0825,Gear Lever Push - Pull Switch (Shift Anticipate)
P0826,Up and Down Switch Input Circuit
P0827,Up and Down Switch Input Circuit Low
P0828,Up and Down Switch Input Circuit High
P0829,5-6 Shift
P0830,Clutch Pedal Switch A Circuit
P0831,Clutch Pedal Switch A Circuit Low
P0832,Clutch Pedal Switch A Circuit High
P0833,Clutch Pedal Switch B Circuit
P0834,Clutch Pedal Switch B Circuit Low
P0835,Clutch Pedal Switch B Circuit High
P0836,Four Wheel Drive (4WD) Switch Circuit
P0837,Four Wheel Drive (4WD) Switch Circuit Range/Performance
P0838,Four Wheel Drive (4WD) Switch Circuit Low
P0839,Four Wheel Drive (4WD) Switch Circuit High
P0840,Transmission Fluid Pressure Sensor/Switch A Circuit
P0841,Transmission Fluid Pressure Sensor/Switch A Circuit Range/Performance
P0842,Transmission Fluid Pressure Sensor/Switch A Circuit Low
P0843,Transmission Fluid Pressure Sensor/Switch A Circuit High
P0844,Transmission Fluid Pressure Sensor/Switch A Circuit Intermittent
P0845,Transmission Fluid Pressure Sensor/Switch B Circuit
P0846,Transmission Fluid Pressure Sensor/Switch B Circuit Range/Performance
P0847,Transmission Fluid Pressure Sensor/Switch B Circuit Low
P0848,Transmission Fluid Pressure Sensor/Switch B Circuit High
P0849,Transmission Fluid Pressure Sensor/Switch B Circuit Intermittent
P0850,Park / Neutral Switch Input Circuit
P0851,Park / Neutral Switch Input Circuit Low
P0852,Park / Neutral Switch Input Circuit High
P0853,Drive Switch Input Circuit
P0854,Drive Switch Input Circuit Low
P0855,Drive Switch Input Circuit High
P0856,Traction Control Input Signal
P0857,Traction Control Input Signal Range/Performance
P0858,Traction Control Input Signal Low
P0859,Traction Control Input Signal High
P0860,Gear Shift Module Communication Circuit
P0861,Gear Shift Module Communication Circuit Low
P0862,Gear Shift Module Communication Circuit High
P0863,TCM Communication Circuit
P0864,TCM Communication Circuit Range/Performance
